2026-07-27T21:31:26.106515 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:24:01.221527 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:24:01.222517 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:24:08.270749 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:26:07.919042 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:26:07.919593 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:26:15.443854 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:29:16.376572 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:29:16.377083 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:29:21.409037 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:30:57.976690 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:30:57.977233 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:31:04.390047 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:40:47.815087 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:40:47.815530 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:40:54.867103 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:57:19.668413 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:57:19.669178 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:57:39.055558 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-07-27T22:59:40.999451 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-07-27T22:59:40.999728 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-07-27T22:59:46.509453 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-03T21:52:21.906554 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-03T21:52:21.907688 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-03T21:54:14.003294 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-03T21:55:07.280334 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-03T21:55:07.280767 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
2026-08-03T21:55:13.577390 | INFO     | partow.Main          | log_info        | 177  | 🚀 برنامه PARTOW با موفقیت اجرا شد.
2026-08-03T22:13:42.980965 | INFO     | partow.Main          | log_info        | 177  | ✅ دیتابیس با موفقیت ایجاد شد. تعداد جداول: 13
2026-08-03T22:13:42.981613 | INFO     | partow.Main          | log_info        | 177  | 📋 جداول: ['academic_years', 'sqlite_sequence', 'staff', 'students', 'student_academic_profiles', 'competencies', 'observations', 'interventions', 'followups', 'attachments', 'audit_logs', 'users', 'teacher_assignments']
